Timestamp,Asset,Action,Vol,CostBasis
2018-05-25,XLE,BUY,1899.01,26.33
2018-05-25,XLU,BUY,2546.86,19.63
2018-05-25,XLB,ALLOCATION,0.0000,0.00
2018-05-25,XLC,ALLOCATION,0.0000,0.00
2018-05-25,XLE,ALLOCATION,0.5000,0.00
2018-05-25,XLF,ALLOCATION,0.0000,0.00
2018-05-25,XLI,ALLOCATION,0.0000,0.00
2018-05-25,XLK,ALLOCATION,0.0000,0.00
2018-05-25,XLP,ALLOCATION,0.0000,0.00
2018-05-25,XLRE,ALLOCATION,0.0000,0.00
2018-05-25,XLU,ALLOCATION,0.5000,0.00
2018-05-25,XLV,ALLOCATION,0.0000,0.00
2018-05-25,XLY,ALLOCATION,0.0000,0.00
2018-05-25,TLT,ALLOCATION,0.0000,0.00
2018-05-25,PORTFOLIO_METRIC,EQUITY,100000.00,100000.00
2018-05-25,REGIME_METRIC,STATE,0,1.0000
2018-06-22,XLC,BUY,866.54,46.82
2018-06-22,XLU,SELL,508.86,19.91
2018-06-22,TLT,BUY,210.84,96.21
2018-06-22,XLE,SELL,1899.01,26.71
2018-06-22,XLB,ALLOCATION,0.0000,0.00
2018-06-22,XLC,ALLOCATION,0.4000,0.00
2018-06-22,XLE,ALLOCATION,0.0000,0.00
2018-06-22,XLF,ALLOCATION,0.0000,0.00
2018-06-22,XLI,ALLOCATION,0.0000,0.00
2018-06-22,XLK,ALLOCATION,0.0000,0.00
2018-06-22,XLP,ALLOCATION,0.0000,0.00
2018-06-22,XLRE,ALLOCATION,0.0000,0.00
2018-06-22,XLU,ALLOCATION,0.4000,0.00
2018-06-22,XLV,ALLOCATION,0.0000,0.00
2018-06-22,XLY,ALLOCATION,0.0000,0.00
2018-06-22,TLT,ALLOCATION,0.2000,0.00
2018-06-22,PORTFOLIO_METRIC,EQUITY,101419.45,101405.03
2018-06-22,REGIME_METRIC,STATE,1,0.8000
2018-07-20,XLC,BUY,7.28,47.17
2018-07-20,XLU,SELL,28.40,20.51
2018-07-20,TLT,BUY,2.48,96.61
2018-07-20,XLB,ALLOCATION,0.0000,0.00
2018-07-20,XLC,ALLOCATION,0.4000,0.00
2018-07-20,XLE,ALLOCATION,0.0000,0.00
2018-07-20,XLF,ALLOCATION,0.0000,0.00
